1559149381976,size,s
1559149394981,speed,slow
1559149407986,speed,fast
1559149421987,duration,zero
1559149426991,shape,curvy
1559149437995,duration,zero
1559149448001,shape,wave
1559149456004,speed,a.f.a.p
1559149461005,direction,chaotic
1559149471007,texture,minimal
1559149481011,shape,linear
1559149495014,shape,twisted
1559149506016,size,xl
1559149514018,level,low
1559149527023,direction,left
1559149535030,duration,forever
1559149541033,speed,fast
1559149546037,level,fly
1559149552041,direction,give 'n' take
1559149557041,polarity,right
1559149570045,shape,spiral
1559149581050,duration,slong
1559149593054,speed,slow
1559149600057,level,standing
1559149607059,polarity,positive
1559149614062,direction,down
1559149626064,level,low
1559149636041,texture,thick
1559149648071,shape,linear
1559149656104,level,low
1559149664154,shape,cubic
1559149676207,shape,zero
1559149683254,speed,a.f.a.p
1559149690287,texture,sliding
1559149698323,size,s
1559149709328,level,high
1559149723331,shape,zero
1559149729334,polarity,positive
1559149737339,duration,normal
1559149751345,level,flat
1559149763350,level,low
1559149776353,speed,cockain
1559149781357,speed,death
1559149794359,level,high
1559149799363,polarity,down
1559149808365,level,medium
1559149816368,texture,condenced
1559149821372,texture,hitting
1559149827378,speed,chill
1559149841382,speed,death
1559149850384,size,l
1559149855385,size,s
